OFFENSE_CODE_GROUP	OFFENSE_DESCRIPTION	OCCURRED_ON_DATE	YEAR	MONTH	DAY_OF_WEEK	HOUR	STREET
Disorderly Conduct	AFFRAY	09-08-2017 10:54	2017	8	Wednesday	10	MORTON ST
Disorderly Conduct	AFFRAY	20-06-2017 22:24	2017	6	Tuesday	22	N BEACON ST
Other	ABDUCTION - INTICING	01-07-2015 20:30	2015	7	Wednesday	20	NAZING ST
Other	ABDUCTION - INTICING	10-04-2018 08:00	2018	4	Tuesday	8	NEEDHAM RD
Disorderly Conduct	AFFRAY	13-02-2017 15:03	2017	2	Monday	15	NEW CHARDON ST
Other	ABDUCTION - INTICING	01-08-2017 14:07	2017	8	Tuesday	14	NEW ENGLAND AVE
Disorderly Conduct	AFFRAY	01-03-2018 17:15	2018	3	Thursday	17	NEWBURY ST
Other	ABDUCTION - INTICING	01-02-2016 15:15	2016	2	Monday	15	NEWBURY ST
Disorderly Conduct	AFFRAY	14-07-2016 17:05	2016	7	Thursday	17	NEWTON ST
Disorderly Conduct	AFFRAY	24-11-2016 16:52	2016	11	Thursday	16	NIGHTINGALE ST
Disorderly Conduct	AFFRAY	24-10-2017 18:30	2017	10	Tuesday	18	NORFOLK ST
Other	ABDUCTION - INTICING	05-01-2016 16:12	2016	1	Tuesday	16	NORFOLK ST
Disorderly Conduct	AFFRAY	23-08-2015 20:30	2015	8	Sunday	20	NORTHERN AVE
Disorderly Conduct	AFFRAY	26-06-2018 17:25	2018	6	Tuesday	17	NORWELL ST
Disorderly Conduct	AFFRAY	04-11-2016 19:00	2016	11	Friday	19	NORWELL ST
Disorderly Conduct	AFFRAY	01-10-2017 17:51	2017	10	Sunday	17	PARIS ST
Disorderly Conduct	AFFRAY	09-04-2017 07:43	2017	4	Sunday	7	PARKER HILL AVE
Simple Assault	A&B ON POLICE OFFICER	04-02-2016 15:00	2016	2	Thursday	15	PARKMAN ST
Disorderly Conduct	AFFRAY	15-03-2018 13:01	2018	3	Thursday	13	PEACEVALE RD
Disorderly Conduct	AFFRAY	01-11-2017 08:48	2017	11	Wednesday	8	PEACEVALE RD
Disorderly Conduct	AFFRAY	27-02-2017 12:22	2017	2	Monday	12	PEACEVALE RD
Disorderly Conduct	AFFRAY	07-02-2017 12:55	2017	2	Tuesday	12	PEACEVALE RD
Disorderly Conduct	AFFRAY	01-12-2016 12:17	2016	12	Thursday	12	PEACEVALE RD
Simple Assault	A&B ON POLICE OFFICER	08-03-2017 21:34	2017	3	Wednesday	21	PEMBROKE ST
Disorderly Conduct	AFFRAY	21-01-2017 02:02	2017	1	Saturday	2	PORTLAND ST
Aircraft	AIRCRAFT INCIDENTS	30-05-2018 19:03	2018	5	Wednesday	19	PRESCOTT ST
Aircraft	AIRCRAFT INCIDENTS	26-05-2018 17:45	2018	5	Saturday	17	PRESCOTT ST
Aircraft	AIRCRAFT INCIDENTS	01-03-2018 05:51	2018	3	Thursday	5	PRESCOTT ST
Aircraft	AIRCRAFT INCIDENTS	08-01-2018 17:42	2018	1	Monday	17	PRESCOTT ST
Aircraft	AIRCRAFT INCIDENTS	11-11-2017 15:07	2017	11	Saturday	15	PRESCOTT ST
Aircraft	AIRCRAFT INCIDENTS	23-10-2017 16:19	2017	10	Monday	16	PRESCOTT ST
Aircraft	AIRCRAFT INCIDENTS	23-10-2017 12:38	2017	10	Monday	12	PRESCOTT ST
Aircraft	AIRCRAFT INCIDENTS	04-10-2017 19:40	2017	10	Wednesday	19	PRESCOTT ST
Aircraft	AIRCRAFT INCIDENTS	26-08-2017 11:34	2017	8	Saturday	11	PRESCOTT ST
Aircraft	AIRCRAFT INCIDENTS	22-08-2017 11:44	2017	8	Tuesday	11	PRESCOTT ST
Aircraft	AIRCRAFT INCIDENTS	19-08-2017 18:06	2017	8	Saturday	18	PRESCOTT ST
Aircraft	AIRCRAFT INCIDENTS	28-07-2017 18:21	2017	7	Friday	18	PRESCOTT ST
Aircraft	AIRCRAFT INCIDENTS	08-07-2017 18:48	2017	7	Saturday	18	PRESCOTT ST
Aircraft	AIRCRAFT INCIDENTS	27-06-2017 11:00	2017	6	Tuesday	11	PRESCOTT ST
Aircraft	AIRCRAFT INCIDENTS	24-06-2017 11:23	2017	6	Saturday	11	PRESCOTT ST
Aircraft	AIRCRAFT INCIDENTS	28-03-2017 11:24	2017	3	Tuesday	11	PRESCOTT ST
Aircraft	AIRCRAFT INCIDENTS	22-03-2017 10:59	2017	3	Wednesday	10	PRESCOTT ST
Aircraft	AIRCRAFT INCIDENTS	26-02-2017 20:40	2017	2	Sunday	20	PRESCOTT ST
Aircraft	AIRCRAFT INCIDENTS	25-01-2017 16:22	2017	1	Wednesday	16	PRESCOTT ST
Aircraft	AIRCRAFT INCIDENTS	19-01-2017 12:35	2017	1	Thursday	12	PRESCOTT ST
Aircraft	AIRCRAFT INCIDENTS	08-01-2017 19:21	2017	1	Sunday	19	PRESCOTT ST
Aircraft	AIRCRAFT INCIDENTS	02-07-2016 15:14	2016	7	Saturday	15	PRESCOTT ST
Aircraft	AIRCRAFT INCIDENTS	01-07-2016 17:29	2016	7	Friday	17	PRESCOTT ST
Aircraft	AIRCRAFT INCIDENTS	29-01-2016 21:12	2016	1	Friday	21	PRESCOTT ST
Aircraft	AIRCRAFT INCIDENTS	26-12-2015 23:22	2015	12	Saturday	23	PRESCOTT ST
Aircraft	AIRCRAFT INCIDENTS	26-12-2015 14:41	2015	12	Saturday	14	PRESCOTT ST
Aircraft	AIRCRAFT INCIDENTS	08-12-2015 13:42	2015	12	Tuesday	13	PRESCOTT ST
Disorderly Conduct	AFFRAY	02-10-2016 22:23	2016	10	Sunday	22	QUEENSBERRY ST
Disorderly Conduct	AFFRAY	04-03-2018 00:04	2018	3	Sunday	0	RHOADES ST
Disorderly Conduct	AFFRAY	17-08-2016 00:17	2016	8	Wednesday	0	RIPLEY RD
Disorderly Conduct	AFFRAY	23-08-2017 01:14	2017	8	Wednesday	1	RIVER ST
Disorderly Conduct	AFFRAY	11-11-2016 02:11	2016	11	Friday	2	RIVER ST
Disorderly Conduct	AFFRAY	01-01-2016 03:34	2016	1	Friday	3	RIVER ST
Disorderly Conduct	AFFRAY	01-01-2016 03:34	2016	1	Friday	3	RIVER ST
Disorderly Conduct	AFFRAY	09-11-2015 01:52	2015	11	Monday	1	RIVER ST
Disorderly Conduct	AFFRAY	31-03-2017 12:45	2017	3	Friday	12	ROGERS PARK AVE
Disorderly Conduct	AFFRAY	02-10-2017 14:39	2017	10	Monday	14	ROSEWOOD ST
Disorderly Conduct	AFFRAY	16-09-2016 01:18	2016	9	Friday	1	RUSSELL ST
Disorderly Conduct	AFFRAY	01-10-2016 22:04	2016	10	Saturday	22	RUTLAND ST
Disorderly Conduct	AFFRAY	31-12-2016 12:50	2016	12	Saturday	12	SAINT ALPHONSUS ST
Disorderly Conduct	AFFRAY	07-05-2017 17:25	2017	5	Sunday	17	SALEM ST
Disorderly Conduct	AFFRAY	21-08-2017 00:21	2017	8	Monday	0	SARATOGA ST
Disorderly Conduct	AFFRAY	17-01-2018 16:19	2018	1	Wednesday	16	SCHOOL ST
Disorderly Conduct	AFFRAY	18-11-2015 12:06	2015	11	Wednesday	12	SCHOOL ST
Disorderly Conduct	AFFRAY	04-11-2017 01:30	2017	11	Saturday	1	SEAPORT BLVD
Disorderly Conduct	AFFRAY	25-01-2017 14:06	2017	1	Wednesday	14	SHAWMUT AVE
Disorderly Conduct	AFFRAY	06-10-2016 18:10	2016	10	Thursday	18	SHAWMUT AVE
Disorderly Conduct	AFFRAY	24-03-2018 03:15	2018	3	Saturday	3	SOLDIERS FIELD RD
Disorderly Conduct	AFFRAY	29-10-2017 02:15	2017	10	Sunday	2	STUART ST
Disorderly Conduct	AFFRAY	17-01-2016 02:11	2016	1	Sunday	2	STUART ST
Disorderly Conduct	AFFRAY	26-06-2015 01:52	2015	6	Friday	1	STUART ST
Disorderly Conduct	AFFRAY	01-12-2017 08:45	2017	12	Friday	8	TEMPLE PL
Disorderly Conduct	AFFRAY	22-09-2016 14:29	2016	9	Thursday	14	TOWER ST
Disorderly Conduct	AFFRAY	06-06-2018 16:24	2018	6	Wednesday	16	TREMONT ST
Disorderly Conduct	AFFRAY	23-02-2018 02:06	2018	2	Friday	2	TREMONT ST
Disorderly Conduct	AFFRAY	09-12-2017 02:30	2017	12	Saturday	2	TREMONT ST
Disorderly Conduct	AFFRAY	19-08-2017 13:45	2017	8	Saturday	13	TREMONT ST
Disorderly Conduct	AFFRAY	19-08-2017 16:12	2017	8	Saturday	16	TREMONT ST
Disorderly Conduct	AFFRAY	06-05-2017 13:30	2017	5	Saturday	13	TREMONT ST
Disorderly Conduct	AFFRAY	06-04-2017 02:24	2017	4	Thursday	2	TREMONT ST
Disorderly Conduct	AFFRAY	12-03-2017 19:15	2017	3	Sunday	19	TREMONT ST
Disorderly Conduct	AFFRAY	25-02-2017 19:46	2017	2	Saturday	19	TREMONT ST
Disorderly Conduct	AFFRAY	20-05-2016 15:15	2016	5	Friday	15	TREMONT ST
Disorderly Conduct	AFFRAY	07-01-2016 17:14	2016	1	Thursday	17	TREMONT ST
Disorderly Conduct	AFFRAY	09-06-2017 20:17	2017	6	Friday	20	TROTTER CT
Disorderly Conduct	AFFRAY	21-05-2017 03:02	2017	5	Sunday	3	TYLER ST
Disorderly Conduct	AFFRAY	14-04-2017 21:40	2017	4	Friday	21	VAN NESS ST
Disorderly Conduct	AFFRAY	03-07-2017 09:01	2017	7	Monday	9	VFW PKWY
Disorderly Conduct	AFFRAY	26-02-2016 13:20	2016	2	Friday	13	VFW PKWY
Disorderly Conduct	AFFRAY	17-11-2016 20:16	2016	11	Thursday	20	VILLAGE CT
Disorderly Conduct	AFFRAY	07-11-2017 15:18	2017	11	Tuesday	15	W DEDHAM ST
Disorderly Conduct	AFFRAY	20-03-2017 19:59	2017	3	Monday	19	W DEDHAM ST
Aggravated Assault	A&B HANDS, FEET, ETC.  - MED. ATTENTION REQ.	29-10-2016 08:25	2016	10	Saturday	8	W WALNUT PARK
Disorderly Conduct	AFFRAY	26-04-2017 22:33	2017	4	Wednesday	22	WALK HILL ST
Disorderly Conduct	AFFRAY	18-06-2015 12:00	2015	6	Thursday	12	WALNUT AVE
Disorderly Conduct	AFFRAY	29-11-2017 13:20	2017	11	Wednesday	13	WARREN AVE
Disorderly Conduct	AFFRAY	25-09-2017 12:36	2017	9	Monday	12	WARREN ST
Disorderly Conduct	AFFRAY	15-06-2017 13:45	2017	6	Thursday	13	WARREN ST
Disorderly Conduct	AFFRAY	13-04-2017 09:44	2017	4	Thursday	9	WARREN ST
Disorderly Conduct	AFFRAY	05-04-2017 12:47	2017	4	Wednesday	12	WARREN ST
Disorderly Conduct	AFFRAY	03-04-2017 11:30	2017	4	Monday	11	WARREN ST
Disorderly Conduct	AFFRAY	18-06-2015 22:53	2015	6	Thursday	22	WARREN ST
Disorderly Conduct	AFFRAY	30-07-2018 22:40	2018	7	Monday	22	WASHINGTON ST
Disorderly Conduct	AFFRAY	17-07-2018 10:52	2018	7	Tuesday	10	WASHINGTON ST
Disorderly Conduct	AFFRAY	10-05-2018 14:00	2018	5	Thursday	14	WASHINGTON ST
Disorderly Conduct	AFFRAY	23-04-2018 14:41	2018	4	Monday	14	WASHINGTON ST
Disorderly Conduct	AFFRAY	21-03-2018 17:53	2018	3	Wednesday	17	WASHINGTON ST
Disorderly Conduct	AFFRAY	15-02-2018 13:40	2018	2	Thursday	13	WASHINGTON ST
Disorderly Conduct	AFFRAY	06-10-2017 13:00	2017	10	Friday	13	WASHINGTON ST
Disorderly Conduct	AFFRAY	19-08-2017 17:45	2017	8	Saturday	17	WASHINGTON ST
Disorderly Conduct	AFFRAY	29-03-2017 09:36	2017	3	Wednesday	9	WASHINGTON ST
Disorderly Conduct	AFFRAY	10-03-2017 08:20	2017	3	Friday	8	WASHINGTON ST
Disorderly Conduct	AFFRAY	07-03-2017 14:45	2017	3	Tuesday	14	WASHINGTON ST
Disorderly Conduct	AFFRAY	01-03-2017 11:25	2017	3	Wednesday	11	WASHINGTON ST
Disorderly Conduct	AFFRAY	06-01-2017 11:54	2017	1	Friday	11	WASHINGTON ST
Disorderly Conduct	AFFRAY	08-11-2016 10:17	2016	11	Tuesday	10	WASHINGTON ST
Disorderly Conduct	AFFRAY	19-08-2016 20:14	2016	8	Friday	20	WASHINGTON ST
Disorderly Conduct	AFFRAY	19-07-2016 11:30	2016	7	Tuesday	11	WASHINGTON ST
Disorderly Conduct	AFFRAY	06-07-2016 11:29	2016	7	Wednesday	11	WASHINGTON ST
Disorderly Conduct	AFFRAY	25-10-2015 09:20	2015	10	Sunday	9	WASHINGTON ST
Disorderly Conduct	AFFRAY	01-12-2016 13:30	2016	12	Thursday	13	WAYNE ST
Disorderly Conduct	AFFRAY	16-12-2016 20:37	2016	12	Friday	20	WEST ST
Disorderly Conduct	AFFRAY	05-06-2017 12:23	2017	6	Monday	12	WHITE ST
Disorderly Conduct	AFFRAY	28-04-2017 10:59	2017	4	Friday	10	WHITE ST
Disorderly Conduct	AFFRAY	24-12-2016 13:59	2016	12	Saturday	13	WILLIAM T MORRISSEY BLVD
Disorderly Conduct	AFFRAY	04-11-2015 22:42	2015	11	Wednesday	22	WILLIAM T MORRISSEY BLVD
Disorderly Conduct	AFFRAY	16-11-2017 14:29	2017	11	Thursday	14	WINTER ST
Disorderly Conduct	AFFRAY	07-04-2018 18:51	2018	4	Saturday	18	ZEIGLER ST
Aircraft	AIRCRAFT INCIDENTS	23-05-2018 15:43	2018	5	Wednesday	15	
Aircraft	AIRCRAFT INCIDENTS	17-08-2017 20:12	2017	8	Thursday	20	
Aircraft	AIRCRAFT INCIDENTS	24-07-2017 14:27	2017	7	Monday	14	
Disorderly Conduct	AFFRAY	06-05-2017 03:22	2017	5	Saturday	3	
Disorderly Conduct	AFFRAY	13-03-2017 13:26	2017	3	Monday	13	
Aircraft	AIRCRAFT INCIDENTS	09-03-2017 08:02	2017	3	Thursday	8	
Aircraft	AIRCRAFT INCIDENTS	05-03-2017 10:26	2017	3	Sunday	10	
Aircraft	AIRCRAFT INCIDENTS	01-03-2017 15:20	2017	3	Wednesday	15	
Disorderly Conduct	AFFRAY	05-02-2017 00:58	2017	2	Sunday	0	
Disorderly Conduct	AFFRAY	30-01-2017 01:51	2017	1	Monday	1	
Disorderly Conduct	AFFRAY	20-11-2016 12:38	2016	11	Sunday	12	
Disorderly Conduct	AFFRAY	11-10-2016 08:42	2016	10	Tuesday	8	
Disorderly Conduct	AFFRAY	27-08-2016 09:30	2016	8	Saturday	9	
Disorderly Conduct	AFFRAY	25-08-2016 19:45	2016	8	Thursday	19	
Disorderly Conduct	AFFRAY	09-07-2016 13:52	2016	7	Saturday	13	
Disorderly Conduct	AFFRAY	04-07-2016 02:02	2016	7	Monday	2	
Disorderly Conduct	AFFRAY	02-06-2016 15:07	2016	6	Thursday	15	
Other	ABDUCTION - INTICING	09-03-2016 17:28	2016	3	Wednesday	17	
Disorderly Conduct	AFFRAY	20-01-2016 02:11	2016	1	Wednesday	2	
